,character,line,gender
0,TONY STARK,Been a while since I was up here in front of you. Maybe I’ll do us all a favour and just stick to the cards. There’s been some speculation that I was somehow involved in the events that occurred on the freeway and on the rooftop…,MALE
1,CHRISTINE EVERHART,"Sorry, Mr Stark, do you honestly expect us to believe that that was a bodyguard in a suit that convinently appeared despite the fact that you sorely despise bodyguards?",FEMALE
2,TONY STARK,Yes,MALE
3,CHRISTINE EVERHART,And this mysterious bodyguard was somehow equipped with an undisclosed Stark high-tech powered battle…,FEMALE
4,TONY STARK,"I know that it’s confusing. It is one thing to question the official story and another thing entirely to make wild accusations, or insinuate that I’m a superhero.",MALE
5,TONY STARK,"I mean, let’s face it, I’m not the heroric type. A laundry list of character defects, all the mistakes I’ve made, largely public. The truth is… I am Iron Man.",MALE
6,ANTON VANKO,Ivan. Vanya. That should be you.,MALE
7,IVAN VANKO,Don’t listen to that crap,MALE
8,ANTON VANKO,I’m sorry. All I can give you is my knowledge.,MALE
9,MAN,270 at 30 knots. Holding steady at 15000 feet. You are clear for exfiltration over the drop zone,MALE
10,PRETTY MUCH EVERYONE IN THE CROWD,Tony! Tony! Tony! Tony!,NEUTRAL
11,TONY STARK,It’s good to be back. You missed me?,MALE
12,MAN IN CROWD,Blow something up!,MALE
13,TONY STARK,"I missed you too. Blow something up? I already did that. I’m not saying that the world is enjoying its longest period of uninterrupted peace in years because of me. I’m not saying that from the ashes of captivity, never has a greater phoenix metaphor been personified in human history. I’m not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea because I haven’t come across anyone who’s man enough to go toe-to-toe with me on my best day.",MALE
14,WOMAN IN CROWD,I love you Tony!,FEMALE
15,TONY STARK,"Please, it’s not about me.  It’s not about you. It’s not even about us. It’s about legacy. It’s about what we choose to leave behind for future generations. And that’s why for the next year and for the first time since 1974, the best and brightest men and women of nations and corporations the world over will pool their resources, share their collective vision, to leave behind a brighter future. It’s not about us. Therefore, what I’m saying, if I’m saying anything, is welcome back to the Stark Expo.  And now, making a special guest appearance from the great beyond to tell you what it’s all about, please welcome my father, Howard.",MALE
16,HOWARD STARK,"Everything is achievable through technology. Better living, robust health, and for the first time in human history, the possibility of world peace. So, from all of us here at Stark Industries, I would like to personally introduce you to the City of the Future. Technology holds infinite possibilities for mankind,  and will one day rid society of all its ills. Soon technology will affect the way you live your life every day. No more tedious work, leaving more time for leisure activities and enjoying the sweet life. The Stark Expo. Welcome.",MALE
17,REPORTER,"We are coming to you live from the kickoff at the Stark Expo, where Tony Stark has just walked offstage. Don’t worry if you can’t make it down here tonight because this Expo goes on all year long. And I’m gonna be here checking out all the attractions and the pavilions and inventions from all around the world.",MALE
18,HAPPY HOGAN,Make sure you join me…,MALE
19,TONY STARK,"All right, it’s a zoo out there, watch out.",MALE
20,HAPPY HOGAN,"Open up, let’s go.",MALE
21,TONY STARK,"Hey, nice to see you. All right. Thank you. I remember you.",MALE
22,PEOPLE,"TONY STARK, Tony",NEUTRAL
23,TONY STARK,"Hey, hey.",MALE
24,WOMAN,Call me.,FEMALE
25,HAPPY HOGAN,"Hey, hey, hey, hey. Come on, come on.",MALE
26,TONY STARK,Hello. It would be a pleasure.,MALE
27,HAPPY HOGAN,Okay,MALE
28,TONY STARK,See you buddy,MALE
29,HAPPY HOGAN,This is Larry.,MALE
30,TONY STARK,"Hey, the oracle of Oracle. What a pleasure. Nice to see you.",MALE
31,LARRY,Call me. Call me.,FEMALE
32,HAPPY HOGAN,Larry King.,MALE
33,TONY STARK,"Larry! Larry. Yes, my people, my people.",MALE
34,HAPPY HOGAN,"Come on, Tony. There we go.",MALE
35,TONY STARK,Very mellow.,MALE
36,HAPPY HOGAN,That wasn’t so bad.,MALE
37,TONY STARK,"No, it was perfect.",MALE
38,HAPPY HOGAN,"Look what we got here, the new model.",MALE
39,TONY STARK,"Hey, does she come with the car?",MALE
40,HAPPY HOGAN,I certainly hope so. Hi.,MALE
41,TONY STARK,Hi. And you are?,MALE
42,WOMAN,Marshal.,FEMALE
43,TONY STARK,Irish. I like it.,MALE
44,MARSHAL,Pleased to meet you Tony.,FEMALE
45,TONY STARK,I’m on the wheel. Do you mind? Where you from?,MALE
46,MARSHAL,Bedford.,FEMALE
47,TONY STARK,What are you doing here?,MALE
48,MARSHAL,Looking for you.,FEMALE
49,TONY STARK,Yeah? You found me. What are you up to later?,MALE
50,MARSHAL,Serving subpoenas.,FEMALE
51,TONY STARK,Yikes.,MALE
52,HAPPY HOGAN,He doesn’t like to be handed things.,MALE
53,TONY STARK,"Yeah, I have a peeve.",MALE
54,MARSHAL,I got it. You are hereby ordered to appear before the Senate Armed Services Committee tomorrow morning at 9 am.,FEMALE
55,TONY STARK,Can I see a badge?,MALE
56,MARSHAL,You wanna see the badge?,FEMALE
57,HAPPY HOGAN,He likes the badge.,MALE
58,MARSHAL,You still like it?,FEMALE
59,TONY STARK,Yep.  How far are we from D.C.?,MALE
60,HAPPY HOGAN,D.C.? 250 miles.,MALE
61,STERN,"Mr Stark, could we pick up now where we left off? Mr Stark. Please.",MALE
62,TONY STARK,Yes dear?,MALE
63,STERN,Can I have your attention?,MALE
64,TONY STARK,Absolutely.,MALE
65,STERN,Do you or do you not possess a specialised weapon?,MALE
66,TONY STARK,I do not.,MALE
67,STERN,You do not?,MALE
68,TONY STARK,"I do not. Well, it depends on how you define the word weapon.",MALE
69,STERN,The Iron Man weapon.,MALE
70,TONY STARK,My device does not fit that description.,MALE
71,STERN,Well… How would you describe it?,MALE
72,TONY STARK,"I would describe it by defining it as what it is, Senator.",MALE
73,STERN,As?,MALE
74,TONY STARK,It’s a high-tech prosthesis. That is… That is… That’s actually the most apt description I can make of it.,MALE
75,STERN,"It’s a weapon. It’s a weapon, Mr Stark.",MALE
76,TONY STARK,"Please, if your priority was actually the well-being of the American citizen…",MALE
77,STERN,My priority is to get the Iron Man weapon turned over to the people of the United States of America.,MALE
78,TONY STARK,"Well, you can forget it. I am Iron Man. The suit and I are one. To turn over the Iron Man suit would be to turn over myself which is tantamount to indentured servitude or prostitution, depending or what state you’re in. You can’t have it.",MALE
79,STERN,"Look, I’m no expert…",MALE
80,TONY STARK,In prostitution? Of course not. You’re a senator. Come on.,MALE
81,STERN,"I’m no expert in weapons. We have somebody here who is an expert on weapons. I’d now like to call Justin Hammer, our current primary weapons contractor.",MALE
82,TONY STARK,"Let the record reflect that I observed Mr Hammer entering the chamber, and I am wondering if and when any actual expert will also be in attendance.",MALE
83,JUSTIN HAMMER,"Absolutely. I’m no expert. I defer to you, Anthony. You’re the wonder boy. Senator, if I may. I may well not be an expert, but you know who was the expert? Your dad. Howard Stark. Really a father to us all, and to the military-industrial age. Let’s just be clear, he was no flower child. He was a lion. We all know why we’re here. In the last six months, Anthony Stark has created a sword with untold possibilities. And yet, he insists it’s a shield. He asks us to trust him as we cower behind it. I wish I were comforted, Anthony, I really do. I’d love to leave my door unlocked when I leave the house, but this ain’t Canada. You know, we live in a world of grave threats, threats that Mr Stark will not always be able to foresee. Thank you. God bless Iron Man. God bless America.",MALE
84,STERN,That is well said Mr Hammer. The committee would now like to invite Lieutenant Colonel James Rhodes to the chamber.,MALE
85,TONY STARK,Rhodey? What?,MALE
86,TONY STARK,"Hey, buddy. I didn’t expect to see you here.",MALE
87,JAMES RHODES,"Look, it’s me, I’m here. Deal with it. Let’s move on.",MALE
88,TONY STARK,I just…,MALE
89,JAMES RHODES,Drop it.,MALE
90,TONY STARK,"All right, I’ll drop it.",MALE
91,STERN,"I have before me a complete report on the Iron Man weapon, complied by Colonel Rhodes. And, Colonel, for the record, can you please read page 57, paragraph four?",MALE
92,JAMES RHODES,"You’re requesting that I read specific selections from my report, Senator?",MALE
93,STERN,"Yes, sir.",MALE
94,JAMES RHODES,It was my understanding that I was going to be testifying in a much more comprehensive and detailed manner.,MALE
95,STERN,I understand. A lot of things have changed today. So if you could just read…,MALE
96,JAMES RHODES,You do understand that reading a single paragraph out of context does not reflect the summery of my final…,MALE
97,STERN,"Just read it, Colonel. I do. Thank you.",MALE
98,JAMES RHODES,"Very well. “As he does not operate within any definable branch of government, Iron Man presents a potential threat to the security of both the nation and to her interests.” I did however, go on to summarise that the benefits of Iron Man far outweigh three liabilities and that it would be in our interest…",MALE
99,STERN,That’s enough Colonel,MALE
100,JAMES RHODES,…to fold Mr Stark…,MALE
101,STERN,That’s enough,MALE
102,JAMES RHODES,"…into the existing chain of command, Senator.",MALE
103,TONY STARK,"I’m not a joiner, but I’ll consider Secretary of Defence, if you ask nice.",MALE
104,TONY STARK,We can amend the hours a little bit.,MALE
105,STERN,"I’d like to go on and show, if I may, the imagery that’s connected to your report.",MALE
106,JAMES RHODES,I believe it is somewhat premature to reveal these images to the general public at this time.,MALE
107,STERN,"With all due respect, Colonel, I understand. And if you could just narrate those for us, we’d be very grateful. Let’s have the images.",MALE
108,JAMES RHODES,"Intelligence suggests that the devices seen in these photos are, in fact, attempts at making manned copies of Mr Stark’s suit. This has been corroborated by our allies and local intelligence on the ground…",MALE
109,JAMES RHODES,"… indicating that these suits are quite possibly, at this moment, operational.",MALE
110,TONY STARK,"Hold on a second buddy. Let me see something here.  Boy, I’m good. I commandeered your screens. I need them. Time for a little transparency. Now, let’s see what’s really going on.",MALE
111,STERN,What is he doing?,MALE
112,TONY STARK,"If you will direct your attention to said screens, I believe that’s North Korea.",MALE
113,STERN,Can you turn that off? Take it off.,MALE
114,TONY STARK,Iran.,MALE
115,TONY STARK,No grave threat here. Is that Justin Hammer? How did Hammer get in the game?,MALE
116,TONY STARK,"JUSTIN HAMMER, you’re on TV. Focus up.",MALE
117,JUSTIN HAMMER,"Okay, give me a left twist. Left’s good. Turn to the right. Oh, shit. Oh, shit.",MALE
118,TONY STARK,"Wow. Yeah, I’d say most countries, five, ten years away. Hammer Industries, twenty.",MALE
119,JUSTIN HAMMER,I’d like to point out that that test pilot survived.,MALE
120,STERN,I think we’re done is the point that he’s making. I don’t think there’s any reason…,MALE
121,TONY STARK,"The point is, you’re welcome, I guess",MALE
122,STERN,For what?,MALE
123,TONY STARK,Because I’m your nuclear deterrent. It’s working. We’re safe. America is secure. You want my property? You can’t have it. But I did you a big favour.,MALE
124,TONY STARK,I’ve successfully privatised world peace.,MALE
125,TONY STARK,What more do you want? For now! I tried to play ball with these ass-clowns.,MALE
126,STERN,"you, Mr Stark.  you, buddy. We’re adjourned. We’re adjourned for today.",MALE
127,TONY STARK,Okay.,MALE
128,STERN,You’ve been a delight.,MALE
129,TONY STARK,My bond is with the people. And I will serve this great nation at the pleasure of myself. If there’s one thing I’ve proven it’s that you can count on me to pleasure myself.,MALE
130,TONY STARK,"Wake up, Daddy’s home.",MALE
131,JARVIS,"Welcome home, sir. Congratulations on the opening ceremonies. They were such a success, as was your Senate hearing. And may I say how refreshing it is to finally see you in a video with your clothing on, sir.",MALE
132,TONY STARK,You!,MALE
133,TONY STARK,I swear to God I’ll dismantle you. I’ll soak your motherboard. I’ll turn you into a wine rack.,MALE
134,TONY STARK,How many ounce a day of this gobbledegook am I supposed to drink?,MALE
135,JARVIS,"We are up to 80 ounces a day to counteract the symptoms, sir.",MALE
136,TONY STARK,Check palladium levels.,MALE
137,JARVIS,"Blood toxicity, 24%. It appears that the continued use of the Iron Man suit is accelerating your condition. Another core has been depleted.",MALE
138,TONY STARK,"God, they’re running out quick.",MALE
139,JARVIS,"I have run simulations on every known element, and none can serve as a viable replacement for the palladium core.",MALE
140,JARVIS,"You are running out of both time and options. Unfortunately, the device that’s keeping you alive is also killing you.",MALE
141,JARVIS,Miss Potts is approaching. I recommend that you inform her…,MALE
142,TONY STARK,Mute.,MALE
143,PEPPER POTTS,Is this a joke? What are you thinking?,FEMALE
144,TONY STARK,What?,MALE
145,PEPPER POTTS,What are you thinking?,FEMALE
146,TONY STARK,"Hey, I’m thinking I’m busy. And you’re angry about something. Do you have the sniffles? I don’t want to get sick.",MALE
147,PEPPER POTTS,Did you just donate…,FEMALE
148,TONY STARK,Keep your business.,MALE
149,PEPPER POTTS,…our entire modern art collection to the…,FEMALE
150,TONY STARK,Boy Scouts of America.,MALE
151,PEPPER POTTS,…Boy Scouts of America?,FEMALE
152,TONY STARK,"Yes. It is a worthwhile organisation. I didn’t physically check the crates but, basically, yes. And it’s not “our” collection, it’s my collection. No offence.",MALE
153,PEPPER POTTS,"No, you know what? I think I’m actually entitled to say “our” collection considering the time that I put in, over 10 years, curating that.",FEMALE
154,TONY STARK,It was a tax write-off. I needed that.,MALE
