character,line,gender,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,On your left.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,On your left.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"Uh-huh, on my left. Got it.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Don't say it! Don't you say it!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,On your left!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Come on!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Need a medic?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"I need a new set of lungs. Dude, you just ran like 13 miles in 30 minutes.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,I guess I got a late start.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"Oh, really? You should be ashamed of yourself. You should take another lap.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Did you just take it? I assumed you just took it.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,What unit you with?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"58, Pararescue. But now I'm working down at the VA.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Sam Wilson.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Steve Rogers.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Yeah I kind of put that together. Must have freaked you out coming home after the whole defrosting thing.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"It takes some getting used to. It's good to meet you, Sam.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"It's your bed, right?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,What's that?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"Your bed, it's too soft. When I was over there I'd sleep on the ground and use rock for pillows, like a caveman. Now I'm home, lying in my bed, and it's like...",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Lying on a marshmallow. Feel like I'm gonna sink right to the floor.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,How long?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Two tours.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"You must miss the good old days, huh?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Well, things aren't so bad. Food's a lot better, we used to boil everything. No polio is good. Internet, so helpful. I've been reading that a lot trying to catch up.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"Marvin Gaye, 1972, ""Trouble Man"" soundtrack. Everything you've missed jammed into one album.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,I'll put it on the list.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TEXT MESSAGE,Mission alert. Extraction imminent. Meet at the curb. :),NEUTRAL,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Alright, Sam, duty calls. Thanks for the run. If that's what you wanna call running.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"Oh, that's how it is?",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"Oh, that's how it is.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"Okay. Any time you wanna stop by the VA, make me look awesome in front of the girl at the front desk, just let me know.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,I'll keep it in mind.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,Okay.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"Hey, fellas. Either one of you know where the Smithsonian is? I'm here to pick up a fossil.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,That's hilarious.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,How you doing?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,Hey.,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Can't run everywhere.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
SAM WILSON,"No, you can't.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,"The target is a mobile satellite launch platform: The Lemurian Star. They were sending up their last payload when pirates took them, 93 minutes ago.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Any demands?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,A billion and a half.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Why so steep?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,Because it SHIELD's.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"So it's not off-course, it's trespassing.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,I'm sure they have a good reason.,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,"You know, I'm getting a little tired of being Fury's janitor.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
NATASHA ROMANOFF,"Relax, it's not that complicated.",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,How many pirates?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,"Twenty-five, top mercs, led by this guy. Georges Batroc.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,"Ex-DGSE, Action Division. He's at the top of Interpol's Red Notice. Before the French demobilized him, he had thirty-six kill missions. This guy's got a rep for maximum casualties.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
STEVE ROGERS,Hostages?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,"Uh...mostly techs. One officer, Jasper Sitwell.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
BROCK RUMLOW,They're in the galley.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
