character,line,gender,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Been a while since I was up here in front of you. Maybe I’ll do us all a favour and just stick to the cards. There’s been some speculation that I was somehow involved in the events that occurred on the freeway and on the rooftop…,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
CHRISTINE EVERHART,"Sorry, Mr Stark, do you honestly expect us to believe that that was a bodyguard in a suit that convinently appeared despite the fact that you sorely despise bodyguards?",FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,Yes,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
CHRISTINE EVERHART,And this mysterious bodyguard was somehow equipped with an undisclosed Stark high-tech powered battle…,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"I know that it’s confusing. It is one thing to question the official story and another thing entirely to make wild accusations, or insinuate that I’m a superhero.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"I mean, let’s face it, I’m not the heroric type. A laundry list of character defects, all the mistakes I’ve made, largely public. The truth is… I am Iron Man.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
ANTON VANKO,Ivan. Vanya. That should be you.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
IVAN VANKO,Don’t listen to that crap,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
ANTON VANKO,I’m sorry. All I can give you is my knowledge.,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
MAN,270 at 30 knots. Holding steady at 15000 feet. You are clear for exfiltration over the drop zone,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
PRETTY MUCH EVERYONE IN THE CROWD,Tony! Tony! Tony! Tony!,NEUTRAL,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,It’s good to be back. You missed me?,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
MAN IN CROWD,Blow something up!,MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"I missed you too. Blow something up? I already did that. I’m not saying that the world is enjoying its longest period of uninterrupted peace in years because of me. I’m not saying that from the ashes of captivity, never has a greater phoenix metaphor been personified in human history. I’m not saying that Uncle Sam can kick back on a lawn chair, sipping on an iced tea because I haven’t come across anyone who’s man enough to go toe-to-toe with me on my best day.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
WOMAN IN CROWD,I love you Tony!,FEMALE,happy,sad,disgusted,angry,fearful,neutral,surprised
TONY STARK,"Please, it’s not about me.  It’s not about you. It’s not even about us. It’s about legacy. It’s about what we choose to leave behind for future generations. And that’s why for the next year and for the first time since 1974, the best and brightest men and women of nations and corporations the world over will pool their resources, share their collective vision, to leave behind a brighter future. It’s not about us. Therefore, what I’m saying, if I’m saying anything, is welcome back to the Stark Expo.  And now, making a special guest appearance from the great beyond to tell you what it’s all about, please welcome my father, Howard.",MALE,happy,sad,disgusted,angry,fearful,neutral,surprised
